#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01 〔四阿鋡暮抄〕－【宮】
           復次菩薩以方便力現入五道受五欲引導眾生若在阿羅漢上諸天世人當生疑吝是故後說問曰在阿羅漢後可爾何以乃在優婆塞優婆夷後答曰四眾雖漏未盡盡在不久故通名聲聞眾若於四眾中聞說菩薩者則不便如比丘尼得無量律儀故應次比丘後在沙彌前佛以宜法不便故在沙彌後此諸菩薩亦如是雖應在學人三眾上以不便故在後說復次有人言菩薩功德智慧超
           殊阿羅漢辟支佛是故別說問曰何以故大乘經初菩薩聲聞眾別說聲聞經初獨說比丘眾不說菩薩眾答曰欲辨二乘義故佛乘及聲聞乘聲聞乘夾小佛乘廣大聲聞乘自利自為佛乘益一切復次聲聞乘中多說眾生空佛乘中多說眾生空法空如是等種種分別二乘是二道分別說故摩訶衍經中聲聞菩薩眾合說如讚摩訶衍讚偈中說））五百八字【聖】
[008528]28 〔初〕－【元】【明】
[008529]29 辯＝辨【元】【宮】
[008530]30 乘＋（中）【石】
[008531]31 別＋（三乘分別）【三】【宮】，（二乘分別）【石】
[008532]32 〔是〕－【石】
[008533]33 〔讚〕－【石】
[008534]34 衍＋（讚）【石】
[008535]35 大乘人＝摩訶衍【石】
[008536]36 令＝今【宋】【宮】
[008537]37 犛＝[狂-王+苗]【宋】【宮】【聖】【石】
[008538]38 （大）＋精【三】
[008539]39 〔惓〕－【石】
[008540]40 力行不＝行之無【石】
[008541]41 如＋（人）【石】
[008542]42 〔者〕－【石】
[008543]43 無＝不【石】
[008544]44 得＝足【三】【宮】
[008545]45 力＝轉【宋】【宮】【聖】
[008546]46 驢馬駝象＝駝象驢馬【聖】【石】
[008547]47 比＝匹【三】【宮】
[008601]01 駛＝快【三】【宮】【聖】【石】
[008602]02 銜＝釘【宮】
[008603]03 人乘＝乘人【宋】【宮】
[008604]04 但＝獨【石】
[008605]05 [阿-可+(匚@夾)]＝俠【三】＊，夾【聖】＊
[008606]06 偈說＝說偈【聖】＊
<008601>＊ 偈說＝說偈【聖】
[008607]07 如海＝法如大海【聖】
[008608]08 （譬如）＋牛【聖】
[008609]09 （二乘）＋小【聖】
[008610]10 其喻亦如是＝取譬為喻亦如是【聖】
[008611]11 （以是故小乘眾不受菩薩）＋問【三】【聖】【石】
[008612]12 或＝成【元】【明】
<008602>＊ 偈說＝說偈【聖】
[008613]13 名為＝故名【聖】
[008614]14 明註曰賢聖北藏作聖賢
[008615]15 〔之〕－【石】
[008616]16 讚＋（其心）【石】
[008617]17 故是＝是故【聖】
[008618]18 〔所以…薩埵〕五十字－【宮】
[008619]19 〔何〕－【聖】
[008620]20 （最）＋第【三】【聖】
[008621]21 〔法〕－【聖】
[008622]22 為＋（脫）【聖】
[008623]23 〔脫〕－【聖】
[008624]24 索＝求【聖】
[008625]25 是＝名【聖】【石】
[008626]26 辟支佛道聲聞＝聲聞辟支佛【聖】
[008627]27 佛＋（道）【聖】
[008628]28 提＋（薩埵）【聖】
[008629]29 〔來〕－【宋】【宮】
[008630]30 名＋（為）【石】
[008631]31 心＋（度一切眾生）【聖】【石】
[008632]32 願＋（言）【聖】【石】
[008633]33 〔度一切眾生〕－【聖】【石】
[008634]34 〔已〕－【聖】【石】
[008635]35 來＋（得）【聖】
<008603>＊ 偈說＝說偈【聖】
[008636]36 若＝佛【宮】
[008637]37 已＝以【石】
[008638]38 〔實〕－【聖】
[008639]39 （（名實…僧））十六字＝（（實僧諸未得道者以實僧名故得名為僧））十六字【聖】，（（實道人諸未得道者以實僧道故得名道人））十七字【石】
[008640]40 曰＋（鞞）【聖】，（佛自說是）【石】
[008641]41 〔佛自說〕－【石】
[008642]42 〔常〕－【宋】【宮】
[008643]43 〔諸〕－【聖】
[008644]44 等＋（是）【聖】
[008645]45 （能）＋令【聖】【石】
[008646]46 得＝至【聖】【石】
[008647]47 經＋（中）【聖】【石】
[008648]48 骨入＝入骨【三】【宮】【聖】
[008649]49 舟＋（服）【聖】
[008650]50 〔智慧〕－【聖】
[008651]51 菩薩＝菩提薩埵【石】
[008652]52 又＝有人【石】＊
<008604>＊ 又＝有人【石】
[008653]53 常＝當【石】
[008654]54 〔捨〕－【聖】
[008655]55 離＝捨【三】【宮】【聖】【石】
<008605>＊ 又＝有人【石】
[008656]56 〔業〕－【宮】
[008657]57 者＝法【元】【明】【聖】【石】
[008658]58 〔復〕－【三】【宮】
[008701]01 千＝十【宮】
[008702]02 法＝人【聖】
[008703]03 竟＋（二至百百如五十五數法）夾註【聖】
[008704]04 能＋（了）【石】
[008705]05 了了自＝自了了【聖】
[008706]06 刺＝罽【元】【明】【石】＊
<008701>＊ 刺＝罽【元】【明】【石】
[008707]07 泥＝[泥/土]【聖】
[008708]08 種＋（非拘耶尼[爵-(采-木)+(樊-大)]怛羅越弗婆提唯在閻浮提）【三】，（非拘耶尼[爵-(采-木)+(樊-大)]單羅曰弗婆提雖在閻浮提）【石】
[008709]09 （男女中）＋男【聖】
[008710]10 〔非女人〕－【聖】
[008711]11 （得）＋種【三】【石】，（可）＋種【聖】
[008712]12 〔因緣〕－【三】【宮】【聖】
[008713]13 業＋（因緣）【聖】【石】
[008714]14 何＝所【聖】
[008715]15 故＝者何【聖】
[008716]16 故＋（是業）【石】
[008717]17 何以故＝所以者何【聖】
[008718]18 〔此兩語〕－【三】【宮】【聖】
[008719]19 〔何必…初〕七字－【三】【宮】
[008720]20 一一＝一【宮】＊
<008702>＊ 一一＝一【宮】
<008703>＊ 一一＝一【宮】
[008721]21 〔有〕－【三】【宮】【聖】
[008722]22 復＝更【石】＊
[008723]23 〔德〕－【三】【宮】【聖】
<008704>＊ 復＝更【石】
[008724]24 〔作〕－【聖】
<008705>＊ 復＝更【石】
<008706>＊ 復＝更【石】
[008725]25 共＝等【聖】
<008707>＊ 復＝更【石】
[008726]26 （可）＋知【聖】【石】
[008727]27 世界＝國土【聖】
[008728]28 〔能〕－【聖】【石】
<008708>＊ 復＝更【石】
[008729]29 火＋（禪）【石】＊
<008709>＊ 火＋（禪）【石】
[008730]30 牟＝文【聖】
[008731]31 〔多〕－【宮】
[008732]32 未＝不【聖】【石】
[008733]33 〔自〕－【三】【宮】
[008734]34 未＝不【石】
[008735]35 〔集〕－【三】【宮】【聖】【石】
[008736]36 檀＋（那）【聖】【石】＊
[008737]37 禪＋（那）【聖】
<008710>＊ 檀＋（那）【聖】【石】
[008801]01 羅＝鄰【聖】【石】
[008802]02 〔盡〕－【三】【宮】【聖】
[008803]03 墮＝終【三】【宮】【聖】
[008804]04 念＝命【聖】
[008805]05 不＝都無【石】
[008806]06 疑＋（處）【石】
[008807]07 佯＝揚【宋】，楊【聖】【石】
[008808]08 腋＝掖【聖】
[008809]09 作＋（大）【聖】
[008810]10 逐＝遂【石】
[008811]11 掖＝腋【三】【宮】
[008812]12 底＝下【聖】
[008813]13 信＝護【三】【宮】，[言*侯]【石】
[008814]14 作＝信【聖】
[008815]15 受＝愛【宋】
[008816]16 言＝曰【石】
[008817]17 熱＝血【聖】
[008818]18 無＝何【三】【宮】
[008819]19 熱＝煖【聖】【石】
[008820]20 〔王〕－【宮】
[008821]21 [跳-兆+專]＝踹【元】【明】
[008822]22 臗＝寬【宋】，[穴/日/(儿@ㄙ)]【聖】【石】
[008823]23 項＝頸【三】【宮】
[008824]24 戚＝[仁-二+韱]【聖】
[008825]25 天人＝人天【聖】
[008826]26 求＝索【聖】
[008827]27 稱＝秤【石】＊
[008828]28 物＝人【石】
<008801>＊ 稱＝秤【石】
[008829]29 （力少不能得上）＋爾【石】，爾＝是【聖】
[008830]30 責＝情【聖】
[008831]31 度＝渡【三】【宮】
[008832]32 怠＝迷【石】
<008802>＊ 稱＝秤【石】
[008833]33 〔一〕－【三】【宮】
[008834]34 大＝天【三】【宮】【聖】
[008835]35 振＝震【三】【宮】
[008836]36 〔念我〕－【元】【明】【聖】【石】
[008837]37 終＝眾【三】【宮】【聖】【石】
[008838]38 供養＝養護【宮】【聖】【石】
[008839]39 須我也＝如【石】
[008840]40 〔此〕－【聖】
[008841]41 （一）＋心【三】【宮】
[008842]42 〔是〕－【聖】
[008843]43 〔種種〕－【聖】【石】
[008844]44 是檀＝是為檀那【聖】【石】
[008845]45 大＝天【石】
[008846]46 乃至捨＝欲棄身【聖】【石】
[008901]01 語＋（是王）【聖】【石】
[008902]02 [曷-曰]＝自【宮】
[008903]03 王＋（語）【三】【宮】
[008904]04 〔諾〕－【宮】
[008905]05 澡＝滲【聖】【石】
[008906]06 慟＝動【聖】
[008907]07 驚＝京【聖】【石】
[008908]08 止＝山【三】【宮】【聖】【石】
[008909]09 〔諸〕－【聖】
[008910]10 〔王〕－【三】【宮】
[008911]11 甚畏＝自根【三】【宮】【聖】
[008912]12 已＝以【聖】
[008913]13 （城）＋門【聖】
[008914]14 辜＝孤【三】【宮】【聖】【石】
[008915]15 招＝貽【聖】
[008916]16 言＝語須陀須摩王【石】
[008917]17 鎗_〕－【元】【明】【宮】
[008918]18 物＝初【宋】【宮】
[008919]19 治十（多）【三】【宮】
[008920]20 忠恕＝中怒【聖】，中恕【石】
[008921]21 小而大＝為大人【三】【宮】
[008922]22 〔壽〕－【聖】
[008923]23 有悔恨＝恨也【聖】
[008924]24 鹿＝粗【宮】＊
<008901>＊ 鹿＝粗【宮】
[008925]25 赴＝起【聖】
[008926]26 〔實語〕－【石】
<008902>＊ 鹿＝粗【宮】
[008927]27 〔今相放捨〕－【聖】
[008928]28 汝既得脫＝汝得解脫【三】，〔汝既得脫〕－【宮】
[008929]29 （九百）＋九【聖】
[008930]30 百＝九百九十九【聖】
[008931]31 〔本生中〕－【三】【宮】
[008932]32 勤＝勢【聖】
[008933]33 〔一〕－【宋】【宮】
[008934]34 禪＋（那）【石】
[008935]35 如＝若【石】
[008936]36 〔又如〕－【聖】
[008937]37 髻＝結【聖】
[008938]38 大＝若【宮】
[008939]39 言＋（作）【石】
[008940]40 〔在〕－【聖】【石】
[008941]41 〔若〕－【宋】【宮】
[008942]42 時＋（相）【聖】
[008943]43 〔必〕－【三】【宮】
[008944]44 〔一〕－【三】【宮】
[008945]45 故＋（佛於中生）【聖】
[008946]46 〔姓〕－【三】【宮】
[008947]47 〔者〕－【石】
[008948]48 天＋（上）【聖】
[009001]01 六＝五【石】
[009002]02 〔有〕－【聖】
[009003]03 〔邪〕－【聖】
[009004]04 羅＝邏【三】，〔羅〕－【宮】【聖】＊
<009001>＊ 羅＝邏【三】，〔羅〕－【宮】【聖】
[009005]05 （歌羅）＋受【聖】，〔受胎…也〕十一字－【石】
[009006]06 〔二七…也〕九字－【聖】【石】
[009007]07 狀＋（名）【三】【宮】
[009008]08 頞浮＝頞【宋】，浮【石】
[009009]09 陀＋（二七日如胞狀名）【聖】，（二七日時如璽胞狀名）【石】
[009010]10 〔時〕－【聖】
[009011]11 （名）＋也【明】，也＝名【宋】【元】【宮】【石】【聖】
[009012]12 皰＝[鼻*包]【聖】【石】＊
<009002>＊ 皰＝[鼻*包]【聖】【石】
[009013]13 生＋（時）【石】
[009014]14 女＋（人）【石】
[009015]15 〔了〕－【宮】
[009016]16 〔是〕－【三】【宮】【聖】【石】
[009017]17 出＋（母）【聖】【石】
[009018]18 〔身〕－【宋】【宮】
[009019]19 〔相〕－【三】【宮】
[009020]20 磨＝摩所【聖】
[009021]21 〔化〕－【聖】
[009022]22 〔是〕－【三】【宮】
[009023]23 〔輪〕－【聖】
[009024]24 [月*庸]＝嚴【聖】
[009025]25 軟＝濡【聖】【宮】【石】
[009026]26 爪＝扴【石】
[009027]27 鹿＋（王）【三】【宮】【石】
[009028]28 〔時〕－【聖】
[009029]29 復＝更【聖】【石】
[009030]30 齊＝臍【三】【宮】
[009031]31 稚＝靡【元】【明】【聖】【石】
[009032]32 靡＝旋【元】【明】【聖】
[009033]33 山＋（金）【元】【明】
[009034]34 瓔珞＝纓珞【宋】【明】【宮】
[009035]35 皮＝肉【聖】
[009036]36 者＋（身）【宋】【聖】
[009037]37 隆＝平【元】【明】【聖】【石】＊
<009003>＊ 隆＝平【元】【明】【聖】【石】
[009038]38 正＝政【聖】＊
<009004>＊ 隆＝平【元】【明】【聖】【石】
[009039]39 大＋（身）【元】【明】【聖】【石】
[009040]40 圓＝團【聖】
[009041]41 〔骨〕－【宮】【聖】
[009042]42 〔餘〕－【三】【宮】
[009043]43 齒密＝蜜【石】
[009044]44 〔齒〕－【聖】
[009101]01 〔是〕－【三】【宮】
[009102]02 〔是〕－【聖】
[009103]03 發＝得【宮】
[009104]04 故＋（無相人不能發其因故）【聖】
[009105]05 復＋（次）【聖】
[009106]06 其一＝一甚【三】【宮】，一者甚【聖】【石】
[009107]07 二＋（者）【聖】【石】＊
[009108]08 三＋（者）【聖】【石】＊
[009109]09 四＋（者）【聖】【石】＊
[009110]10 五＋（者）【聖】【石】＊
[009111]11 者＋（欲聞）【石】
[009112]12 音聲＝聲音【明】，〔音聲〕－【石】
[009113]13 毘＝頻【聖】＊
<009101>＊ 毘＝頻【聖】
[009114]14 （譬）＋如【聖】
[009115]15 牛＋（王）【石】
[009116]16 好＝厚【宋】【宮】【聖】
[009117]17 頂＝頭【聖】【石】
[009118]18 〔菩薩根者〕－【聖】
[009119]19 一淨＝一者淨【聖】，一者明【石】
[009120]20 分明＋（了了）【聖】【石】
<009102>＊ 四＋（者）【聖】【石】
<009103>＊ 五＋（者）【聖】【石】
[009121]21 六＋（者）【聖】【石】
[009122]22 七＋（者）【聖】【石】
[009123]23 云何名相＝何以故名為相【聖】，相義云何【石】
<009104>＊ 正＝政【聖】
<009105>＊ 正＝政【聖】
<009106>＊ 正＝政【聖】
[009124]24 信淨＝淨信【三】【宮】，清淨【石】
[009125]25 故＝是故【聖】，故是【石】
[009126]26 姓＝性【石】
[009127]27 （端）＋嚴【三】【宮】
[009128]28 娶＝取【三】【宮】【石】＊，聚【聖】＊
<009107>＊ 娶＝取【三】【宮】【石】，聚【聖】
[009129]29 〔者〕－【石】
[009130]30 〔已〕－【聖】，已＝竟【石】
[009131]31 〔次〕－【三】【宮】【石】
[009132]32 〔佛〕－【聖】
[009133]33 一者乃至無異三十字聖本作夾註
[009134]34 受＝愛【聖】
[009135]35 〔重〕－【聖】
[009136]36 〔為〕－【聖】【石】
[009137]37 〔為〕－【三】【宮】
[009138]38 〔摩訶〕－【元】【明】【聖】【石】
[009139]39 是＋（阿毘曇毘婆沙中說如是）夾註【聖】
[009140]40 讀＝誦【聖】
[009141]41 〔慧〕－【三】【宮】【聖】
[009142]42 跳＝趠【聖】
[009143]43 〔如〕－【三】【宮】
[009144]44 然燈＝燃撜【聖】，定光【石】
[009145]45 然燈＝燃燈【聖】，定光【石】
[009146]46 牟＝文【聖乙】【石】
[009201]01 然＝燃【聖】
[009202]02 大＝人【聖】
[009203]03 眼＋（若）【聖】【石】
<009201>＊ 正＝政【聖】
[009204]04 〔一〕－【三】【宮】【聖】
[009205]05 〔子〕－【聖】
<009202>＊ 正＝政【聖】
<009203>＊ 正＝政【聖】
[009206]06 稱＝種【聖】＊
[009207]07 邊＝所【石】
[009208]08 言於＝於言【聖】
[009209]09 受＝授【石】
[009210]10 稱說＝稱記【宮】，種說【聖】
[009211]11 次＋（如）【石】
[009212]12 劫＋（中）【石】
[009213]13 言＋（於）【三】【宮】
[009214]14 不能＝不【三】【宮】【聖】＊，未能【石】＊
[009215]15 復＋（人）【聖】【石】
<009204>＊ 不能＝不【三】【宮】【聖】，未能【石】
[009216]16 〔中〕－【三】【宮】【聖】
[009217]17 故於＝故無色界【元】【明】【聖】，政故無色界【石】
[009218]18 娑＝婆【三】【宮】
[009219]19 〔多〕－【三】【宮】
[009220]20 何以＝以何【石】
[009221]21 曰＝越【明】
[009222]22 頃＝須【石】
[009223]23 住＋（是一心中無力不住）【三】【宮】，（是一心無力不住）【石】
[009224]24 思＋（生）【聖】【石】
[009225]25 〔福德〕－【三】【宮】
[009226]26 百＝有【石】
[009227]27 中＋（及）【石】
[009228]28 〔中〕－【石】
[009229]29 〔是事此〕－【聖】，是＝此【石】
[009230]30 〔那〕－【三】【宮】
[009231]31 心雖大＝雖心大【三】【宮】【聖】，雖大心【石】
[009232]32 生＋（故）【聖】【石】
[009233]33 〔母〕－【三】【宮】
[009234]34 〔為主者〕－【聖】
[009235]35 己＝自【聖】
[009236]36 物＋（是物）【聖】
[009237]37 〔於〕－【聖】，於＝心著【石】
[009238]38 心著是＝故名【石】
[009239]39 〔為〕－【聖】
[009240]40 〔德〕－【三】【宮】【聖】
[009241]41 〔別〕－【三】【宮】
[009242]42 〔地〕－【宮】
[009301]01 是＋（亦非）【石】
[009302]02 地是乃至分十三字聖本作夾註
[009303]03 中＝邊【聖】
[009304]04 兩＝二【聖】
[009305]05 相＋（能出）【聖】
[009306]06 〔世〕－【三】【宮】＊
<009301>＊ 〔世〕－【三】【宮】
[009307]07 正＝止【三】【宮】
[009308]08 〔好〕－【聖】
[009309]09 〔時〕－【三】【宮】
[009310]10 染＝深【石】
[009311]11 〔佛〕－【聖】
[009312]12 〔世〕－【三】【宮】【聖】
[009313]13 （若燈）＋明【宮】，（明若燈之）＋明【聖】【石】
[009314]14 時＝國【元】【明】，〔時〕－【宋】【宮】【聖】
[009315]15 拘＝憍【石】
[009316]16 〔諸苦惱〕－【三】【宮】
[009317]17 經說＝經【宋】【宮】，說【聖】
[009318]18 〔言歸命…尼佛〕三十五字－【宮】
[009319]19 〔未離欲〕－【聖】
[009320]20 尼＋（佛）【三】【宮】
[009321]21 〔敬愛心重〕－【聖】
[009322]22 （愛著）＋歸【聖】
[009323]23 首＋（以來離欲故）【聖】
[009324]24 〔一〕－【聖】【石】
[009325]25 出＋（世間）【聖】
[009326]26 〔中〕－【聖】
[009327]27 世界＝國土【聖】＊
[009328]28 〔佛〕－【三】【宮】
<009302>＊ 世界＝國土【聖】
[009329]29 易出易得＝易得易出【石】
<009303>＊ 世界＝國土【聖】
[009330]30 〔時〕－【宮】＊
<009304>＊ 世界＝國土【聖】
<009305>＊ 〔時〕－【宮】
[009331]31 眾＋（多）【三】
[009332]32 〔名〕－【三】【宮】
[009333]33 〔餘〕－【宮】
[009334]34 現在＝現前【三】【宮】，現在不能見，大德有力人＝大德有人力，現前不能見【聖】
[009335]35 無＝不【聖】
[009336]36 令欲＝欲令【三】【宮】【聖】【石】
[009337]37 無量＝等【石】
[009338]38 〔意〕－【聖】
[009339]39 教道＝教導【三】【宮】，導教【聖】
[009401]01 二因二緣＝內外因緣【三】【聖】【石】
[009402]02 〔故〕－【三】【宮】
[009403]03 〔度〕－【聖】
[009404]04 度＋（經）【石】
[009405]05 （（大智…五））十七字＝（（大智度論卷第五釋初品中摩訶薩埵））十五字【三】【宮】，埵字下宋本有第九二字，宮本有第六二字，（（大智論釋初品中摩訶薩埵第六，卷第五））十六字【聖】，六字下聖本有下訖第七釋菩薩功德九字夾註，（（大智度經論卷第五釋初品中摩訶薩埵義品第八））二十字【石】
<009401>＊ 〔龍樹…譯〕二十一字－【聖】【石】
<009402>＊ 後秦龜茲國＝姚秦【三】【宮】
<009403>＊ 〔奉詔〕－【三】【宮】
[009406]06 〔經〕－【宋】【宮】【聖】＊
[009407]07 埵＋（者）【聖】【石】
[009408]08 〔論〕－【宮】【聖】＊
[009409]09 者＝名【元】【明】【宮】，秦言【聖】【石】
[009410]10 還＝轉【聖】【石】
[009411]11 〔慢〕－【聖】【石】
[009412]12 〔為〕－【石】
[009413]13 智＝知【三】【宮】
[009414]14 央＝鞅【聖】
[009415]15 餘＋（殘）【石】
[009416]16 不＝非【聖】
[009417]17 由＝遊【聖】
[009418]18 耶＝那【石】
[009419]19 簸＝[其*皮]【聖】
[009420]20 伽＝迦【三】【宮】
[009421]21 耶＝那【三】【宮】
[009422]22 菩＝薩【元】【明】
[009423]23 他＝陀【三】【宮】
[009424]24 犁＝梨【三】【宮】【聖】【石】
[009425]25 波＝婆【聖】【石】
[009426]26 比＝毘【聖】
[009427]27 于＝於【明】，孚【聖】，干【石】
[009428]28 烏＝象【宮】
[009429]29 [酉*益]＝磬【聖】
[009430]30 枝＝忮【元】【明】【宮】
[009431]31 尼＝尸【明】【宮】
[009432]32 波＝被【宮】【聖】【石】
[009433]33 〔羅〕－【石】
[009434]34 明註曰迷南藏作迦
[009435]35 企＝念【聖】
[009436]36 〔跋〕－【石】
[009437]37 非＋（婆）【石】
[009438]38 娑羅＝娑婆【三】【宮】，婆婆【聖】
[009439]39 摩遮＝遮摩【聖】
[009440]40 波摩＝婆摩【三】【宮】，婆婆【聖】
[009441]41 波＝婆【聖】＊
<009404>＊ 波＝婆【聖】
<009405>＊ 波＝婆【聖】
[009442]42 陀＝他【三】【宮】＊
[009443]43 土＋（中）【聖】
[009444]44 曰＝越【明】
[009501]01 世界＝國土【聖】＊
<009501>＊ 世界＝國土【聖】
<009502>＊ 世界＝國土【聖】
[009502]02 心＋（非為二三千大千國土微塵等眾生故發心）【聖】
[009503]03 〔三〕－【聖】
<009503>＊ 陀＝他【三】【宮】
[009504]04 心＋（復次）【聖】【石】
[009505]05 〔為〕－【三】【宮】
[009506]06 〔供養〕－【石】
<009504>＊ 世界＝國土【聖】
[009507]07 （國）＋土【石】
<009505>＊ 世界＝國土【聖】
[009508]08 中＋（微塵）【石】
[009509]09 界＋（中）【石】
[009510]10 〔三千大千世界中〕－【石】
[009511]11 等＋（諸）【石】
[009512]12 土＝世界【聖】【石】＊
[009513]13 〔三千…等〕九字－【聖】
<009506>＊ 土＝世界【聖】【石】
[009514]14 發＋（菩薩）【石】＊
[009515]15 〔三千大千世界微塵等〕－【聖】＊，〔三千大千世界〕－【石】＊
[009516]16 （諸）＋佛【石】
<009507>＊ 發＋（菩薩）【石】
<009508>＊ 發＋（菩薩）【石】
<009509>＊ 〔三千大千世界微塵等〕－【聖】，〔三千大千世界〕－【石】
<009510>＊ 發＋（菩薩）【石】
[009517]17 世界＝國土【聖】
<009511>＊ 發＋（菩薩）【石】
[009518]18 （（三千…人））十字＝斷【聖】
[009519]19 煩惱＋（次第相續）【聖】
<009512>＊ 發＋（菩薩）【石】
[009520]20 （今）＋是【聖】
<009513>＊ 土＝世界【聖】【石】
[009521]21 （國）＋土【聖】【石】
[009522]22 眾＋（生）【聖】
[009523]23 故＋（盡知）【聖】
[009524]24 作＝住【元】【明】【聖】
[009525]25 土＝國【聖】【石】
[009526]26 〔已來〕－【聖】
[009527]27 〔照〕－【三】【宮】【聖】
[009528]28 （（大智…十））十四字＝（（大智度論釋初品中菩薩功德））十二字【宋】【元】，德字下宋本有第十二字宮本有第七二字，（（釋初品中菩薩功德））八字【明】，（（大智論釋初品中菩薩功德第七））十三字【聖】，（（大智度經論釋初品中菩薩功德品第九））十六字【石】
<009514>＊ 〔經〕－【宋】【宮】【聖】
[009529]29 陀羅尼＝陀鄰尼【石】下同
[009530]30 忍＋者【聖】【石】
<009515>＊ 〔論〕－【宋】【宮】【聖】
[009531]31 讚＝續【宮】
[009532]32 法＋（故以此法）【聖】，（以此法）【石】
[009533]33 〔諸〕－【聖】
[009534]34 〔故〕－【三】【宮】【聖】【石】
[009535]35 〔或言…者〕七字－【宮】
[009536]36 〔能〕－【聖】
[009537]37 〔能遮者〕－【宮】
[009538]38 令不＝不令【聖】
[009539]39 一＋（眾）【宋】【宮】
[009540]40 〔法持法入行陰〕－【宋】【宮】
[009541]41 （（丹注…智））六字＝（（除盡智））三字【三】【宮】【聖】，但聖本作本文，智字下石本有也一字【石】
[009542]42 （（丹注…識））六字＝（（一意識））三字【三】，〔丹注…識〕六字－【宮】，一意識也【石】，意識【聖】，但聖本作本文
[009543]43 〔所〕－【宮】
[009544]44 逐＝遂【石】
[009601]01 〔菩薩〕－【石】
[009602]02 故＝菩薩【石】
[009603]03 無＝不【宮】
[009604]04 多種一名＝甚多有【三】【宮】【聖】
[009605]05 〔者〕－【聖】
[009606]06 〔忘〕－【石】
[009607]07 〔是名…尼〕七字－【三】【宮】【聖】
[009608]08 復＝更【石】＊
[009609]09 偈說＝說偈【聖】
<009601>＊ 復＝更【石】
[009610]10 有＝次【聖】
[009611]11 （若）＋一【元】【明】
[009612]12 如＋（若）【聖】，〔如〕－【石】
[009613]13 到＝趣【聖】【石】
[009614]14 諸＝語【三】【宮】【聖】【石】
[009615]15 雨＋（時）【石】
[009616]16 則＋（應）【石】
[009617]17 以＝此【聖】
[009618]18 如＝知【宮】
[009619]19 忍＝是陀羅尼【聖】
[009620]20 〔不動〕－【聖】
[009621]21 有＝以【石】
[009622]22 是故＝以是故菩薩【石】
[009623]23 〔菩薩作是念〕－【三】【宮】【聖】
[009624]24 養＋（我）【石】
[009625]25 讚我也＝讚嘆我【石】
[009626]26 〔德〕－【三】【宮】
[009627]27 他人得福＝於他【三】【宮】，於【聖】，於他人德福【石】
[009628]28 〔以〕－【三】【宮】【聖】
[009629]29 響＝嚮【石】
[009630]30 音淨＝淨音【三】【宮】
[009631]31 陰＝眾【石】
[009632]32 〔故〕－【宮】【石】
[009633]33 故＝法【三】，（法）＋故【宮】，〔故〕－【聖】
[009634]34 〔五塵…故〕八字－【宮】
[009635]35 〔住〕－【宋】
[009636]36 滅＋（法）【聖】
[009637]37 相＋（三昧）【聖】【石】
[009638]38 實相＝相實【宮】
[009639]39 名＋（為）【石】
[009640]40 空＋（是名空）【三】【宮】
[009641]41 諸＝是【宋】【宮】【聖】
[009642]42 亦＝已【聖】
[009643]43 〔丹注云〕－【三】【石】，〔丹注…業〕十四字－【宮】【聖】
[009644]44 空＝定【三】【宮】【聖】
[009645]45 定＋（中）【聖】
[009646]46 定＝字【宮】【聖】【石】
[009701]01 為＝曰【聖】
[009702]02 〔非禪〕－【宮】【聖】
[009703]03 〔四空定〕－【三】【宮】
[009704]04 有＋（一種）【石】
[009705]05 有＝又【聖】，有一種人【石】
[009706]06 有＋（一種人）【石】
[009707]07 衍＋（法）【聖】
[009708]08 嚬呻＝頻申【宋】【元】【宮】【聖】
[009709]09 世界＝國土【聖】
[009710]10 莊嚴＝疾【三】【宮】
[009711]11 遍＝通【聖】
[009712]12 〔諸〕－【三】【宮】
[009713]13 作＋（三昧）【聖】
[009714]14 無相無作＝無作無相【石】＊
[009715]15 無作無相＝無相無作【聖】
<009701>＊ 無相無作＝無作無相【石】
<009702>＊ 偈說＝說偈【聖】
[009716]16 已＝以【石】
[009717]17 曰＋（云何得）【聖】
[009718]18 （益）＋利【石】
[009719]19 生＋（中）【聖】
[009720]20 〔應〕－【聖】
[009721]21 觀＋（無好無醜謂之等）【聖】【石】
[009722]22 〔如法相〕－【宮】【聖】
[009723]23 〔人〕－【明】，人及畜生一等＝畜生及人等一【石】
[009724]24 相＝法【石】＊
<009703>＊ 相＝法【石】
[009725]25 〔人〕－【石】
[009726]26 〔相〕－【三】【宮】
[009727]27 說＋（說）【石】
[009728]28 禮＝說【三】【宮】
[009729]29 〔入〕－【三】【宮】
<009704>＊ 偈說＝說偈【聖】
[009730]30 〔亦不生滅非不生滅〕－【宮】
[009731]31 （（丹注…也））十三字＝（（於邪見得離故言解脫））九字【三】【聖】【石】，〔丹注…也〕十三字－【宮】，但聖本作本文
[009732]32 （（空非…是））十五字＝（（非空非不空非空不取故言非如是））十四字【聖】
[009733]33 〔丹注云〕－【三】【石】〔丹注…也〕十一字－【宮】
