#T24
#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
# （（））─ 與＝配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[009901] 〔大〕－【明】＊
[032809] 教＝故【聖】
[032810] 當＝常【聖】
[032811] 問＝門【宮】
[032812] 此下聖本有光明皇后願文
[032901] 闌＝蘭【三】【宮】
[032902] 便＝使【聖乙】
[032903] 末＝未【元】
[032904] 電＝雹【三】【宮】
[032905] 電＝雹【元】【明】＊
[032906] 其＝某【三】【宮】＊
[032907] 阿＝何【聖】【聖乙】
[032908] 威＝盛－【三】【宮】【聖】【聖乙】
[032909] 活＝存【三】【宮】
[032910] 後＝彼【聖】【聖乙】
[033001] 今＝令【元】【明】
[033002] 〔我等…朋〕二十字－【三】【宮】
[033003] 曰＝言【三】【宮】
[033004] 見我＝我見【三】【宮】
[033005] 昔＝等【聖乙】
[033006] 〔法〕－【聖乙】
[033007] 持＝行【三】【宮】
[033008] 足＝之【聖乙】
[033009] 果＝梁【宮】
[033101] 栴＝旃【元】【明】
[033102] 使＝便【聖乙】
[033103] 既＝現【聖】【聖乙】
[033104] 資＝滋【明】
[033105] 已＝事【三】【宮】
[033106] （雲）＋集【三】【宮】
[033107] 〔此〕－【三】【宮】
[033108] 室＝堂【明】
[033109] 玉＝王【三】【宮】
[033110] 〔也〕－【三】【宮】【聖乙】
[033111] 踊＝涌【三】【宮】＊
[033112] 耀=輝【三】【宮】
[033201] 能＝前【元】
[033202] 有＝神【三】
[033203] 非＝時【宋】【元】
[033204] 萬＝卍【明】
[033205] 上＝左【三】【宮】
[033206] 樂＝鼓【宋】【宮】【聖】【聖乙】
[033207] 粖＝末【明】
[033208] 他＝陀【三】【宮】＊
[033209] 熠＝爝【三】【宮】
[033210] 末＝未【聖乙】
[033211] 伽＝根（明）
[033301] 〔發〕－【聖乙】
[033302] 恥＝邪【宋】【元】【宮】
[033303] 說頌＝頌曰【三】【宮】
[033304] 惓＝苦【宮】
[033305] 〔亦〕－【聖】【聖乙】
[033306] 並＝普【聖】【聖乙】
[033307] 答＝曰【三】【宮】
[033308] 此下聖本有光明皇后願文
[033309] 捨＝除【三】【宮】
[033401] 彼＝伏【三】【宮】【聖】
[033402] 技＝伎【三】【宮】＊
[033403] 取＝娶【三】【宮】
[033404] 臣＝王【明】
[033405] 已字以上聖本卷首斷缺
[033406] 可＝我【明】
[033407] 君＝若【宋】
[033408] 冊＝策【三】【宮】【聖乙】
[033409] 〔具〕－【三】【宮】
[033410] 〔臣〕－【三】【宮】【聖乙】
[033411] 令＝使【三】【宮】
[033412] 後不＝彼未【三】【宮】
[033413] 〔有〕－【宋】【元】【宮】
[033414] 所＝可【三】【宮】
[033415] 儲＝諸【聖】【聖乙】
[033416] 他＝陀【三】【宮】
[033417] 絃＝弦【宋】
[033418] [怡-台+芒]＝忙【宋】【宮】，茫【元】【明】
[033419] 子＝于【三】【宮】【聖】【聖乙】
[033420] 便＝更【聖】
[033501] 曰＝言【三】【宮】
[033502] 肉＝內【宮】
[033503] 危＝厄【元】【明】
[033504] 姻＝因【宮】
[033505] 王＝主【宮】
[033506] 與＝舁【三】【宮】
[033507] 歎＝難【聖乙】
[033508] 善＝之【三】【宮】
[033509] 千＝干【明】
[033510] 須＝復【宮】
[033511] 議＝儀【明】＊
[033512] 弶＝殑【三】【宮】＊
[033513] 踞＝居【元】【宮】
[033514] 揀＝簡【三】【宮】，蘭【聖】【聖乙】
[033601] 多＝久【宋】【元】【宮】
[033602] 時＋（有）【聖乙】
[033603] 丈夫＝大天【宋】，大夫【元】
[033604] 〔老〕－【宮】
[033605] 飯＝餅【聖乙】
[033606] 觴＝觸【聖乙】
[033607] 餅＝飯【三】【宮】
[033608] 言＝曰【明】
[033609] 現＝既【三】【宮】
[033610] 速＝遣【三】【宮】
[033611] 〔令〕－【三】【宮】
[033612] 挼＝搓【明】
[033613] 仄＝庂【宮】
[033614] 飯＝餅【聖乙】
[033615] 烝＝蒸【三】【宮】
[033616] 飯＝餅【聖乙】
[033617] 具＝其【宮】
[033618] 飯＝餅【聖】【聖乙】＊
[033619] 藥＝樂【聖乙】
[033620] 園苑＝苑園【三】【宮】【聖乙】
[033701] 令＝命【三】【宮】，今【聖乙】
[033702] 召＝名【聖乙】
[033703] 知＝智【明】
[033704] 憂＝如【三】【宮】
[033705] 〔一〕－【宋】【元】【宮】
[033706] 〔大〕－【明】
[033707] 騾＋（騾）【明】
[033801] 許＝計【聖乙】
[033802] 中＝下【聖乙】
[033803] 人行＝行人【明】
[033804] 某＝其【聖乙】
[033805] 衰＝[褒-保+牙]【宮】【聖】【聖乙】
[033806] 謂＝請【三】【宮】
[033807] 此下聖本有光明皇后願文
[033808] 某＝其【聖】【聖乙】
[033809] 主＝王【元】【明】
[033810] 而＝乃【宋】【元】
[033811] 王所＝生已【聖】【聖乙】
[033901] 伐＝代【宋】
[033902] 陣＝陳【聖乙】
[033903] 城＝臣【明】
[033904] 拯＝賑【宋】【明】【宮】
[033905] 仄＝庂【宮】
[033906] 令＝今【宋】【宮】
[033907] 准＝唯【宮】
[033908] 炎＝琰【三】【宮】
[033909] 謂＝語【三】【宮】
[033910] 〔曰〕－【三】【宮】
[033911] 用＝因【聖】【聖乙】
[033912] 掛＝拄【宋】【宮】＊，桂【聖乙】
[034001] 晚＝監【宮】
[034002] 元＝無【聖】
[034003] 〔日〕－【明】
[034004] 不＝乎【元】【明】
[034005] 中＝重【明】＊
[034006] 懾＝攝【元】
[034007] 瀉＝寫【三】【宮】
[034008] 懧＝獰【三】【宮】
[034009] 止＝正【明】【聖】【聖乙】
[034010] 遂＝逐【宋】【宮】
[034011] 〔遂〕－【三】【宮】
[034101] 云＝曰【明】
[034102] 辨＝辯【三】【宮】
[034103] [革*更]＝硬【聖乙】
[034104] 歎＝難【聖】【聖乙】
[034105] 識知＝知識【三】【宮】
[034106] 〔彼〕－【三】【宮】
[034107] 好婦＝婦好【三】【宮】
[034108] 稱＝大【宮】
[034109] 櫃＝匱【三】【宮】＊
[034110] 閑＝閉【三】【宮】【聖】【聖乙】
[034111] 舁＝輿【聖乙】
[034112] 咸＝緘【三】【宮】【聖】【聖乙】
[034201] 晨＝辰【元】【明】
[034202] 日＝甲【聖乙】
[034203] 白＝曰【三】【宮】
[034204] 騫＝鶱【明】
[034205] 聯＝[聯-耳+羽]【宋】【宮】
[034206] 言＝曰【三】【宮】
[034207] 戲＝行【三】【宮】
[034208] 餅＝飯【宋】【宮】＊，飲【元】【明】
[034209] 謾＝漫【三】【宮】
[034210] 欣＝喜【明】
[034211] 王＝主【三】【宮】【聖】【聖乙】
[034212] 活＝治【聖乙】
[034213] 某＝其【三】【宮】【聖乙】
[034214] 且＝具【聖乙】
[034301] 儜＝獰【元】【明】
[034302] 親＝家【明】
[034303] 纏＝繩【宮】
[034304] 空＝王【三】【宮】
[034305] [夌*欠]＝凌【三】【宮】【聖】【聖乙】
[034306] 目＝自【三】【宮】【聖乙】
[034307] 王＝主【元】
[034308] [冰-水+食]＝食【三】【宮】＊
[034309] 餅＝飯【三】【宮】＊
[034310] 至＝不【宋】【宮】【聖】【聖乙】
[034311] 人＝入【宮】
[034312] 肉＝內【聖】【聖乙】
[034313] 耶＝也【三】【宮】【聖】【聖乙】
[034314] 〔一〕－【三】【宮】
[034401] 顏＝容【明】
[034402] 令＝今【宋】【宮】
[034403] 〔惡相〕－【宮】
[034404] 〔今〕－聖【聖乙】
[034405] 客＝容【聖乙】
[034406] 見＝有【明】
[034407] 園＝圍【宮】
[034408] 慼＝戚【元】【明】
[034409] [專*瓦]＝執【三】【宮】，軌【聖】【聖乙】
[034410] （奈）＋何【三】【宮】
[034411] 惠＝思【聖】【聖乙】
[034412] 此中乃至別義二十七字宋元明三本俱作本文
[034413] 日＝目【三】【宮】
[034501] 怜＝憐【明】
[034502] 苑＝花【明】
[034503] 吒＝叱【三】【宮】
[034504] 言字巳下至卷末聖乙本斷缺
[034505] 枉＝狂【宮】
[034506] 相＝日【宋】
[034507] （獼）＋猴【三】【宮】
[034508] 俚＝里【宋】【明】【宮】
[034509] 伎＝技【聖】
[034510] 負＝違【三】【宮】
[034511] 杜＝社【元】
[034512] 密＝蜜【宮】
[034513] 〔一云〕－【三】【宮】
[034514] 盤＝槃【宮】
[034515] 彼＝往【聖】
[034516] 此下聖本有光明皇后願文
[034517] 攝＋（頌）【三】【宮】
[034601] 伐＝代【聖】
[034602] 病＝疾【三】【宮】
[034603] 剪＝剃【三】
[034604] 與＝於【明】
[034605] 爾＝命【聖】
[034606] 從＝往【明】
[034701] 彼＝微【三】【宮】
[034702] 善＝繕【三】【宮】
[034703] 旃＝栴【三】【宮】
[034704] 者＝香【三】【宮】
[034705] 耶＝也【三】【宮】【聖】
[034706] 渧＝啼【三】【宮】
[034707] 淚＝泣【明】＊
[034801] 置＝至【明】
[034802] 絃＝弦【三】【宮】＊
[034803] 暇＝假【三】【宮】
[034804] 往＝住【元】【明】
[034805] 問＝明【宋】
[034806] 遺＝餘【聖】
[034901] 為＝便【三】【宮】
[034902] 命＝令【三】【宮】
[034903] 嚮＝響【三】【宮】＊
[034904] [夌*欠]＝凌【三】【宮】【聖】
[034905] 去＝法【宮】
[034906] 萬＝卍【明】
[034907] 私＝和【宮】
[034908] 恨＝悵【宮】
[034909] 帥＝師【元】＊
[034910] 客＝容【聖】
[034911] 〔我〕－【三】【宮】
[034912] 草＝車【元】
[034913] 踊＝涌【三】【宮】
[034914] 苦＝若【明】
[034915] 及＝反【三】【宮】
[034916] 以＝說【明】
[034917] 貞＝真【明】
[035001] 弶＝殑【三】【宮】＊
[035002] 披＝被【三】【宮】
[035003] 一＝心【聖】
[035004] 喬＝憍【三】＊
[035005] 今＝令【明】
[035006] 遺＝遣【聖乙】
[035007] 更＝便【三】【宮】
[035101] 此下聖本有光明皇后願文
[035102] 〔雜事〕－【元】【宮】
[035103] 制＝詔【宋】【宮】
[035104] 授＝受【三】【宮】＊
[035105] 摩＝磨【明】
[035106] 盛＝減【聖】
[035201] 疊＝[疊*毛]【三】【宮】＊
[035202] 交＝六【元】
[035203] 須＝復【三】【宮】
[035301] 置＝安【三】【宮】【聖】
[035302] 酥＝蘇【宋】【宮】
[035303] 答＝告【三】【宮】
[035304] 槌＝椎【三】【宮】＊
[035305] 賄＝販【宮】
[035306] 還往＝往還【三】【宮】
[035307] 向＝往【三】【宮】
[035308] 間＝簡【三】【宮】
[035309] 匹＝定【宋】，雙【元】【明】
[035310] 曰＝言【明】
[035401] [由/丌]＝舁【三】【宮】
[035402] 今＝令【三】【宮】【聖】
[035403] 意＝言【三】【宮】【聖】
[035404] 水＝出【明】
[035405] 為＝謂【三】【宮】
[035406] 他＝陀【明】
[035501] 慢＝娠【明】
[035502] 舉＝與【三】【宮】
[035503] 者＝人【三】【宮】
[035504] 伴＝侍【三】
[035505] 帥＝師【元】＊
[035506] 忙＝茫【元】【明】
[035507] 瀑＝暴【明】
[035508] 言＝曰【明】
[035509] 知＝智【三】【宮】
[035601] 詞＝嗣【明】
[035602] 瞻＝贍【明】
[035603] 二弟＝第二【三】【宮】
[035604] 相＝成【三】【宮】【聖】
[035605] 病＝疾【明】
[035606] 由＝故【三】【宮】
[035607] 彼＋（於）【三】【宮】
[035608] 迦葉＝迦攝【三】【宮】下同
[035609] 治＝淨【聖】
[035610] 記＝說【聖】
[035611] 財＝錢【三】【宮】
[035612] 與＝興【明】
[035613] 向＋（作）【聖】
[035701] 時＝是【宋】【宮】
[035702] 白＋（業）【三】【宮】【聖】
[035703] 雜＋（業）【三】【宮】
[035704] 嚮＝響【三】【宮】
[035705] 彼＝被【明】
[035706] 既＝即【明】
[035707] 〔男〕－【三】【宮】【聖】
[035708] 〔下〕－【聖】
[035709] 低＝作【聖】
[035710] 此下聖本有光明皇后願文
[035711] （唐）＋三藏【宋】【明】【宮】
[035712] 加＝伽【元】
[035801] 苾芻尼避應行＝尼應避行【三】【宮】，尼避應行【聖】
[035802] 有＝見【明】
[035803] 〔廣〕－【三】【宮】
[035804] 義＋（趣）【三】【宮】
[035805] 加＝跏【宋】【明】【宮】＊
[035806] 小＝不【三】【宮】
[035807] 加＝跏【明】＊
[035808] 請＝詰【三】【宮】
[035809] 散＝施【三】【宮】
[035810] 來＝入【三】【宮】
[035811] 仁者＝姊妹【三】【宮】＊
[035901] 利＝梨【三】【宮】＊
[035902] 踞＝居【三】【宮】＊
[035903] 師＋（足巳）【三】【宮】
[035904] 即＝時喬答彌【三】【宮】
[035905] 須食應與＝准此既合食亦同然【三】【宮】但作夾註
[035906] 自＝從【三】【宮】
[035907] 〔曰〕－【三】【宮】
[036001] 〔難陀〕－【三】【宮】
[036002] 室＝家【三】
[036003] 〔巳〕－【三】【宮】
[036004] 渧＝滴【三】【宮】＊
[036005] 可＝不【三】【宮】
[036006] 存＝終【三】【宮】
[036007] 往＝我往白佛即【三】【宮】
[036008] 抱持＝持抱【三】【宮】
[036009] 崎＝[止*奇]【宮】
[036010] 與＝共【三】【宮】＊
[036011] 揵＝犍【元】【明】
[036012] 稚＝椎【明】
[036013] （苾芻尼）＋僧【三】【宮】＊
[036014] 多＋（尼）【三】【宮】
[036015] 惑＝感【宋】
[036016] 宿＋（應如教奉持）【三】【宮】
[036101] 估＝賈【宮】
[036102] 湊＝萃【聖】
[036103] 門＝人【三】
[036104] （是）＋時【三】【宮】
[036105] 〔唯〕－【三】【宮】
[036106] 交＝友【宮】
[036107] 彼＝波【宮】
[036108] 隨＋（有）【三】【宮】
[036109] 〔處〕－【三】【宮】
[036110] 為次＝次第【三】【宮】
[036111] 娠＝瞋【宮】
[036112] 卜＝十【元】
[036113] 速＝遠【宮】
[036114] 訶利＝訶梨【三】【宮】下同
[036115] 去＝云【元】
[036201] 惱＝懷【宋】，痛【元】【明】
[036202] 訶＋（洲）【三】【宮】
[036203] （阿）＋呵【三】【宮】
[036204] 止＝上【宋】【元】
[036205] 生＝三【明】
[036206] 山＋（既見佛已）【三】【宮】
[036207] 利＝梨【明】＊
[036208] 訶利＝訶梨【三】【宮】下同
[036209] 盤＝槃【三】【宮】
[036210] （若復…足）二十九字∞（佛告…如是作）六十一字【宮】
[036211] （若復…足）二十九字∞（佛告…如是作）六十一字【宮】
[036212] 諸＝僧【三】【宮】
[036213] （若）＋僧【三】【宮】
[036214] 於＝當【三】【宮】
[036215] 令＝常【三】【宮】
[036216] 此＝有【三】【宮】
[036217] 城＋（于時此城）【三】【宮】
[036218] （時）＋有【三】【宮】
[036219] 近前＝前近【三】【宮】
[036301] 女＝生【宋】【元】
[036302] 頂＝項【三】【宮】
[036303] 利＝梨【明】，剎【宮】
[036304] 此下聖本有光明皇后願文
[036305] 儜＝獰【元】【明】
[036306] 相＝以【宋】【元】，其【明】
[036307] 若＝告【宋】【元】【宮】，告諸【明】
[036308] 尼在門前立＝曰諸尼不應在門前立作【三】【宮】
[036401] 崎＝埼【宮】下同
[036402] 大便＝入使【宮】
[036403] 裙＝[袖-由+若]【宮】
[036404] 妹＝姊【宮】【聖】
[036405] 言＝曰【宋】【元】【宮】
[036406] 若＝答【聖】
[036501] 〔向〕－【宮】【聖】
[036502] 法＝者【明】
[036503] 今＝念【宮】
[036504] 途＝路【三】【宮】
[036505] 來＝求【明】
[036506] 此＝我【宮】
[036507] 酤＝釀【三】【宮】
[036508] 擒＝檎【宋】
[036509] 相＝被【三】【宮】
[036510] 儜＝獰【三】【宮】＊
[036511] 沽＝法【宮】
[036512] 〔湊〕－【宮】
[036513] 吐＝坐【聖】
[036601] 違＝作【三】【宮】
[036602] 衣＝還【三】【宮】
[036603] 苾芻＋（尼）【三】【宮】
[036604] 舁＝輿【三】【宮】
[036605] 〔欲〕－【聖】
[036701] 二＝三【三】【宮】【聖】
[036702] 今＝令【宋】【元】
[036703] 度＝慶【聖】
[036704] 辰＝晨【宋】【宮】＊
[036705] 博＝城【宮】
[036706] 寮＝僚【元】【明】＊
[036707] 減＝遭【聖】
[036708] 念＝舍【聖】
[036801] 他＝陀【明】
[036802] 除＝如【明】
[036803] 汝＝非【聖】
[036804] 令＝今【聖】
[036805] 作＝法【宮】
[036806] 壞諸煩惱＝摧二十種有身見山【三】【宮】
[036807] 曰＝白【明】
[036808] 今＝令【聖】
[036809] 娶＝聚【三】【宮】
[036810] 飯＝飲【三】【宮】
[036811] 〔席〕－【宮】
[036901] 〔三〕－【聖】
[036902] 本＝奉【聖】
[036903] 遇＝愚【聖】
[036904] 授＝受【三】【宮】
[036905] 應正等＝無上正【三】【宮】
[036906] 諸＝請【聖】
[036907] 〔雜〕－【三】【宮】
[036908] 此下聖本有光明皇后願文
[036909] 去＝云【元】
[036910] 請＝陳【三】【宮】
[036911] 同＝阿【明】
[037001] 俗＝估【三】【宮】【聖】
[037002] 洗＝浴【三】【宮】
[037003] （皆）＋得【三】【宮】
[037004] 曰＋（此頌迄終）【三】【宮】
[037005] 差＝羞【明】
[037006] 寫＝瀉【明】
[037007] 入＝人【聖】
[037008] 栴＝沈【三】【宮】
[037009] 爪髮＝髮爪【三】【宮】
[037010] 骸＝屍【三】【宮】
[037011] 聞＝間【宮】
[037012] 尼＝由【宮】
[037013] 殺＝欲【宮】
[037014] 彼＝來【三】【宮】
[037101] 擅＝善【三】【宮】【聖】
[037102] 懷＝可【宮】
[037103] 篾＝懱【三】【宮】
[037104] 說＝記【三】【宮】
[037105] 科＋（條）【三】
[037106] 其＝某【三】【宮】＊
[037107] 喜＋（所言懺者梵云懺摩是謂容恕義後人加悔喚為懺悔此即與說罪義不同也）三十字【三】【宮】
[037108] 諍＝爭【三】【宮】
[037109] 問＝聞【三】【宮】
[037201] 搆＝構【宮】
[037202] 〔人〕－【三】【宮】
[037203] 緂＝毯【元】【明】
[037204] 踞＝居【三】【宮】
[037205] 曰＝日【三】【宮】
[037206] 聞＝問【宋】【宮】
[037207] 更＝便【宋】
[037208] 由下＝下留【三】
[037209] 動轉＝轉動【三】【宮】
[037210] 〔作時…也〕二十八字－【宮】
[037211] 疊＝宜【三】
[037212] 將作＝衣【三】
[037213] [木*攀]＝襻【三】
[037301] 餅＝飯【三】【宮】
[037302] 絡＝終【明】
[037303] 飯＝餅【聖】
[037304] 睛＝精【三】【宮】＊
[037305] 父＝久【宮】
[037306] 顧＝頗【三】【宮】
[037307] 舁＝輿【三】【宮】
[037308] 取＝酤【三】【宮】，沽【聖】
[037401] 今＝令【三】
[037402] 竭＝謁【三】【宮】
[037403] 今＝令【聖】
[037404] 此下聖本有光明皇后願文
[037405] 挼＝捼【三】【宮】
[037406] 羅＋（難陀尼）【三】【宮】
[037407] 駛＝駃【宋】【宮】＊
[037408] 為＝今【三】【宮】
[037409] [馬*央]＝駃【宋】，[馬*央]流之處逆水＝逆駃流水【宮】
[037410] 時＝持【明】
[037501] 遂＝[怡-台+吳]【明】
[037502] 破＝碎【三】【宮】
[037503] 出＝去【三】【宮】
[037504] 〔以緣〕－【三】【宮】
[037505] 可＝應【三】【宮】
[037506] 鐶＝環【三】【宮】
[037507] 爐餅＝餺爐【三】【宮】
[037508] 獵獵＝●【三】【宮】＊
[037509] （音）＋響【三】【宮】
[037510] 餅＝飯【三】【宮】
[037511] 侍＝待【三】【宮】
[037512] 今＝令【明】
[037601] 宜＝宣【明】
[037602] 宜＝且【三】【宮】
[037603] 蟠＝盤【三】【宮】
[037604] 當＝常【元】
[037605] 〔也〕－【三】【宮】
[037606] 病＝疾【宮】
[037701] 子＝弗【三】【宮】
[037702] 惡＝怨【三】【宮】
[037703] 忘＝亡【三】【宮】
[037704] 二＝一【明】
[037705] 由＝白【明】
[037706] 王＝主【三】【宮】
[037707] 任＝住【明】
[037708] 眾＝鳥【三】【宮】
[037709] 淺＝少【三】【宮】
[037710] 蘇＝酥【元】【明】＊
[037801] 打＝捨【明】
[037802] 破＝披【宋】
[037803] 往＝住【宮】
[037804] 其＝若【三】【宮】
[037805] 漫＝謾【三】【宮】
[037901] 巳＝時【三】【宮】
[037902] 婢之＝從婢【三】【宮】
[037903] 彼＝從【明】
[037904] （能）＋共【三】【宮】
[037905] 即＝當【三】【宮】
[037906] 玔＝釧【三】【宮】
[037907] 臣＝人【三】【宮】
[037908] 此＝比【元】
[037909] 之事＝事不【三】【宮】
[037910] 手＝毛【元】
[037911] 一＝二【三】【宮】
[037912] 欲觀＝觀於【三】【宮】，觀【聖】
[037913] 見已＝得見【三】【宮】
[037914] 答＝白【三】【宮】
[037915] 訊＝信【聖】
[038001] 他＝陀【明】＊
[038002] 食雖飽足＝雖飽食訖【三】【宮】
[038003] 觸＝解【宮】
[038004] （喫）＋食【三】【宮】
[038005] 〔得〕＋越【三】【宮】
[038006] 即＝既【三】【宮】
[038007] 飯＝餅【聖】
[038008] 皆＝不【元】【明】
[038101] 老年＝年老【三】【宮】
[038102] 蟠＝盤【三】【宮】
[038103] 壓＝押【三】【宮】
[038104] 應＋（他怪門聲彼便具報）【三】【宮】
[038105] 亡＝死【三】【宮】
[038106] 抖擻＝[木*升][打-丁+束]【聖】
[038107] 誰復＝復誰【三】【宮】
[038108] 容＝客【聖】
[038109] 准＝難【明】
[038201] 枯＝枮【三】【宮】
[038202] 篦＝箄【聖】
[038203] 〔而〕－【三】【宮】
[038204] 〔之〕－【三】【宮】
[038205] 侍＝持【三】
[038206] 餅＝飯【三】【宮】
[038207] 已＝以【三】【宮】
[038208] 乳酪石蜜∞飯餅及沙糖【三】【宮】
[038209] 乳酪石蜜∞飯餅及沙糖【三】【宮】
[038210] （其）＋弟【三】【宮】
[038211] 淨＝水【宋】，為【元】【明】
[038212] 差＝老【三】【宮】
[038213] 記＝許【三】【宮】
[038214] 應＋（供）【三】【宮】
[038215] 掛＝挂【三】【宮】
[038216] 曾＝我【三】
[038217] 界＝男【聖】
[038218] 評論＝平論【宋】【聖】下同【宮】
[038219] 〔了〕－【明】，以下夾註中了字明本總無
[038220] 同＝伺【宮】
[038301] 當＝常【宮】
[038302] 訓＝討【三】【宮】
[038303] 花＝化【三】【宮】
[038304] 〔興〕－【聖】
[038305] 殷＝般【宋】＊
[038306] 喜足＝愛樂【宮】
[038307] 於新＝離【三】【宮】
[038308] 一＝七【三】
[038401] 〔時諸…行〕十五字－【三】【宮】
[038402] 此下聖本有光明皇后願文
[038403] 二＝餘【三】【宮】
[038404] 罰＝伐【元】【明】
[038405] 國＝言【宮】
[038406] 北＝此【明】
[038407] 內＋（有）【三】【宮】
[038408] 尋往＝即去【三】【宮】
[038409] 修敬已畢共＝共佛言談【三】【宮】
[038410] 退坐一面＝已在一面坐【三】【宮】
[038501] 收＋（攝）【三】【宮】
[038502] 於＋（天）【三】【宮】
[038503] 言＝曰【三】【宮】
[038504] 大＝天【三】【宮】
[038505] 布施＝所施【三】【宮】
[038506] 弶＝殑【三】【宮】＊
[038507] 趣＝城【宮】
[038508] 起＝越【宮】
[038601] 姑＝呫【三】【宮】＊
[038602] 斂＝歛【元】【明】
[038603] 已＝定【三】【宮】
[038701] 普＝各【三】【宮】
[038702] 席＝座【三】【宮】
[038703] 他＝陀【三】【宮】＊
[038704] 北住＝比任【元】
[038705] 沒＝終【三】【宮】
[038706] 停息＝息停【三】【宮】
[038707] 辯＝辨【元】
[038708] 在＝存【三】【宮】
[038709] 〔洲渚無別〕－【三】【宮】
[038710] 依＝處【三】【宮】
[038711] 〔內身〕－【三】【宮】
[038712] 村＝樹【三】【宮】
[038713] 底＋（處）【三】【宮】
[038714] 能＝內【明】
[038715] 當＝智【三】
[038716] 辯＝辨【宋】【元】【宮】
[038801] 喜＝善【宮】
[038802] 振動＝震動【元】【明】下同
[038803] 晡＝脯【宋】
[038804] 胎＝腹【宮】
[038805] （當此之）＋時【三】【宮】
[038806] 手＝臂【三】【宮】
[038807] 住＋（世）【三】【宮】
[038808] 親＝視【三】【宮】
[038809] 通＝過【宮】
[038901] 已＝邑【三】【宮】
[038902] 便＝使【宮】
[038903] 弟子＝聲聞【三】【宮】
[038904] 所作＝所行【三】【宮】
[038905] 〔是〕－【三】【宮】
[038906] 〔汝〕－【三】【宮】
[038907] （（眾多…經））十二字＝（（大眾多是尊宿善明律藏））十字【宮】
[038908] 於＝從【宮】
[038909] 捨棄＝棄捨【三】【宮】
[039001] 是真＝真是【三】【宮】
[039002] 此＋（苾芻此）【三】，（苾芻）【宮】
[039003] 此＝比【宮】
[039004] （大）＋聖眾【三】【宮】
[039005] 他＝陀【三】【宮】＊
[039006] 〔曰〕－【明】
[039007] 行＝於【宮】
[039008] 若＝善【三】【宮】
[039009] 冤＝怨【三】【宮】
[039101] 呾＝怛【三】【宮】
[039102] 白＝曰【明】
[039103] 加＝跏【三】【宮】＊
[039104] 乘＋（車）【三】【宮】
[039105] 震＝雷【三】【宮】
[039106] 彼＋（便）【三】【宮】
[039107] 疊＝[疊*毛]【元】【明】＊
[039108] 覆＝佛【三】【宮】
[039109] 養＝事【三】【宮】
[039110] 白＋（佛）【三】【宮】
[039111] 施＝供【三】【宮】
[039112] 無餘涅槃＝無餘依妙涅槃【三】【宮】
[039113] 時＝將【聖】
[039114] 美貌＝為美貌業【三】【宮】
[039115] 天＋（業）【三】【宮】
[039116] 食＋（業）【三】【宮】
[039117] 勝＋（業）【三】【宮】
[039118] 〔等〕－【三】【宮】
[039201] 勤修於＝修【宮】
[039202] 覺分法＝之覺分【三】【宮】
[039203] 說＝謂【三】
[039204] 分＝法【三】【宮】
[039205] 病＝疾【三】【宮】
[039206] 上＝生【聖】
[039207] 即＋（便）【三】【宮】
[039208] 〔於〕－【三】【宮】
[039209] 想＝相【三】【宮】
[039210] 意慈＝慈意【聖】
[039211] 如來＋（應供等正覺）【三】【宮】
[039212] （大）＋苾芻【三】【宮】
[039213] 娑＝婆【宮】
[039301] [專*瓦]＝[享*瓦]【宮】
[039302] 王＝正【元】
[039303] 知＝見【明】
[039304] 椽＝稼【元】
[039305] 〔枕〕－【宮】
[039306] 几＝机【三】【宮】
[039307] 莊＝裝【三】【宮】＊
[039308] 供＝共【三】【宮】
[039309] 色＋（作是語已）【三】【宮】
[039310] 王＝臣【三】【宮】
[039401] 大＝太【明】
[039402] 盛＝威【三】【宮】
[039403] 訖＝已【三】【宮】
[039404] 各＝名【明】
[039405] 拘＋（尸）【三】【宮】
[039406] 跋＝跂【宋】【元】【宮】
[039407] 先＋（昔）【三】【宮】
[039408] （大）＋夫人【三】【宮】
[039409] 樹＝林【三】【宮】【聖】
[039410] 無＝不【三】【宮】【聖】
[039411] 斤＝片【元】【明】
[039412] 疊＝[疊*毛]【元】【明】
[039413] 舁＝輿【三】【宮】
[039501] （於）＋此【三】【宮】
[039502] 我＝人【三】【宮】
[039503] 蘇＝酥【元】【明】
[039504] 興＝與【三】
[039505] 恃＝持【明】
[039506] 闥＝聞【聖】
[039601] 此下聖本有光明皇后願文
[039602] 此夾註宋元明宮四本俱作本文
[039603] 〔曰〕－【三】【宮】
[039604] 始＝胎【三】【宮】【聖】
[039605] 其＝見【宮】
[039606] [亞*鳥]＝[至*鳥]【三】
[039607] 遂＝祈【三】【宮】
[039608] 〔曰〕－【三】【宮】
[039609] 如前苦＝苦如前【明】
[039610] 刺＝剌【三】【宮】＊
[039611] 末＝未【三】
[039612] 他＝陀【三】【宮】＊
[039613] 唯＝推【元】【明】
[039614] 執＝說【三】【宮】
[039615] 實＝寶【聖】
[039701] 鬢＝鬚【三】【宮】＊
