#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
[011901]01  者＝有【宮】
[011902]02  違＝韋【三】【宮】
[011903]03  唐＝此【明】
[011904]04  汝＝故【元】【明】
[011905]05  來＝未【宋】
[011906]06  同＝因【宮】
[011907]07  祀＝祠【三】【宮】
[011908]08  生＝化【元】
[011909]09  生也＝受殺【宮】
[012001]01  故＝而【三】【宮】
[012002]02  〔答〕－【三】【宮】
[012003]03  滅＝如【元】
[012004]04  耶＝部【元】
[012005]05  〔無常〕－【三】【宮】
[012006]06  〔察〕－【三】【宮】
[012101]01  然＝燈【三】【宮】
<012101>＊  唯＝惟【三】【宮】
[012102]02  本卷及次卷宮本缺
<012102>＊  〔釋〕－【三】【宮】
[012103]03  〔釋〕－【三】＊
[012104]04  〔偈本…薩〕十三字－【三】＊
[012105]05  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】＊
[012106]06  （釋）＋觀【三】＊
[012201]01  工＝功【三】
[012301]01  （執）＋倒【三】
[012302]02  今＝令【三】
[012401]01  問＝向【元】【明】
[012402]02  滅＋（釋觀顛倒品竟）【明】
[012403]03  〔般若燈論〕－【明】
[012404]04  故＝如【三】
[012405]05  上＝之【元】
[012501]01  渡＝度【三】
[012502]02  已見＝見已【三】
[012503]03  藉＝籍【宋】【元】
[012601]01  及＝乃【三】
[012602]02  若＝苦【明】
[012603]03  若道＝道若【三】
[012701]01  性＝姓【三】
[012702]02  [醫-酉+目]＝翳【三】
[012703]03  何＝可【明】
[012704]04  門＝問【明】
<012801>＊  〔釋〕－【三】
<012802>＊  〔釋〕－【三】
<012803>＊  〔偈本…薩〕十三字－【三】
<012804>＊  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】
[012801]01  （釋）＋觀【三】【宮】
[012802]02  令＝今【明】
[012803]03  似＝以【元】
[012804]04  但＝涅槃【三】
[012805]05  〔是〕－【明】
[012806]06  因＝陰【明】
[012901]01  彼＝後【明】
[012902]02  邪＝耶【三】
[013001]01  〔若〕－【三】
[013002]02  二障＝一障【元】
[013003]03  [敏/心]＝愍【三】＊
<013001>＊  [敏/心]＝愍【三】
<013002>＊  [敏/心]＝愍【三】
[013101]01  他＝化【三】
<013101>＊  [敏/心]＝愍【三】
<013102>＊  [敏/心]＝愍【三】
[013102]02  至＝是【三】
[013103]03  〔般若燈論〕－【明】＊
[013104]04  往＝住【元】
[013105]05  〔緣〕－【三】
[013201]01  芽＝牙【宋】＊
[013202]02  有＝者【明】
<013301>＊  芽＝牙【宋】
[013301]01  永＝行【三】
<013302>＊  〔般若燈論〕－【明】
[013302]02  〔釋〕－【宋】
[013303]03  今＝令【三】
[013304]04  者＝等【三】
[013401]01  外＝水【三】
[013402]02  有＝亦【元】
[013501]01  闇＝間【元】
<013501>＊  〔般若燈論〕－【明】
[013502]02  釋第二十七品竟＝釋觀邪見品竟【元】【明】
<013601>＊  〔釋〕－【三】
[013601]01  譯經＝宋【明】
[013602]02  〔等〕－【明】
[013603]03  邪＝耶【三】
[013604]04  言＝曰【三】【宮】＊
<013602>＊  言＝曰【三】【宮】
[013701]01  生＝性【三】【宮】
[013801]01  性＝住【三】【宮】
[013802]02  ◎不分卷及品【明】
[013803]03  ◎不分卷及品【明】
[013901]01  若＝苦【三】【宮】
[013902]02  邪＝耶【三】
[013903]03  〔之一〕－【明】
[014101]01  ◎不分卷及品【明】
[014102]02  ◎不分卷及品【明】
[014103]03  性＋（頌言）【明】
[014104]04  邪＝耶【三】
[014105]05  ◎卷第一終【明】
[014106]06  ◎卷第二觀去來品第二之餘首【明】，造號譯號同異如首卷【明】
[014107]07  囉＝羅【元】【明】
[014201]01  二＝一【三】【宮】
[014202]02  未＝末【元】
[014301]01  復＝離【明】
[014302]02  ◎不分卷【明】
[014303]03  〔西天〕－【元】
[014304]04  傳＝光【元】
[014305]05  法護＝惟淨【元】
[014306]06  ◎不分卷【明】
[014307]07  謂＝諸【元】【明】
[014308]08  邪＝耶【三】
[014401]01  頌遣＝遣頌【元】【明】
[014402]02  計＝對【宮】
[014501]01  相＝俱【元】【明】
[014502]02  貪＝貧【元】【明】
[014503]03  ◎不分卷【明】
[014601]01  ◎不分卷【明】
[014602]02  （染）＋有【三】【宮】
[014603]03  熟＝就【三】【宮】
[014604]04  令＝今【三】【宮】
[014605]05  言＝曰【三】【宮】＊
<014601>＊  言＝曰【三】【宮】
[014606]06  合＝令【宮】
[014607]07  言＝曰【宋】【元】【宮】
[014701]01  汝字元本缺
[014702]02  ◎卷第二終【明】
[014703]03  ◎卷第三首【明】，造號譯號同異如首卷【明】
[014704]04  〔之一〕－【明】
[014705]05  言＝曰【元】【明】
[014801]01  ◎不分卷及品【明】
[014802]02  ◎不分卷及品【明】
[014803]03  他＋（是他）【元】
[014804]04  生＝住【明】
[014901]01  衣＝依【明】
[015001]01  未＝末【宋】【元】
[015002]02  ◎不分卷及品【明】
[015003]03  ◎不分卷及品【明】
[015101]01  若＝共【明】
[015102]02  可＝何【三】【宮】
[015103]03  成＝脫【明】
[015104]04  老＝若【三】【宮】
[015105]05  二＝一【宮】
[015106]06  若＝苦【宮】
[015107]07  勿＝劣【宮】
[015201]01  言＝曰【宋】【元】【宮】＊
<015201>＊  言＝曰【宋】【元】【宮】
[015301]01  七＝三【明】
[015302]02  八＝四【明】
[015303]03  譯經＝宋【明】
[015401]01  一＝有【明】
[015501]01  何＝便【三】
[015502]02  二＝三【宋】
[015601]01  ◎不分卷及品【明】
[015602]02  ◎不分卷及品【明】
[015701]01  宮本今無自他若五字缺【宮】
[015801]01  彼＝波【明】
[015802]02  九＝四【明】
[015901]01  似＝以【三】
[015902]02  性＝姓【宋】【元】
[015903]03  自＝因【宋】
[015904]04  性＋（故言觀）【三】
[015905]05  略＋（無垢心足出人間物外遊絕往還翻笑白雲元不定又如霖幽雨過也）【三】，但上中雨字宋本元本俱作兩字也字宋本作他字
[015906]06  皆＝出【三】
[015907]07  推＋（其）【三】
[015908]08  以＝名【三】
[015909]09  序＋（釋僧叡造）【宋】【元】，（釋僧叡述）【明】
[015910]10  〔門〕－【三】
[015911]11  或＝惑【三】
[015912]12  塗＝途【三】
[015913]13  〔以〕－【三】
[015914]14  塗＝關【三】
[015915]15  冥＝溟【三】
[015916]16  迴＝[這-言+向]【三】
[015917]17  慧＝惡【三】
[015918]18  希＝晞【三】
[015919]19  朋＝明【三】
[015920]20  宜＝冥【三】
[015921]21  殖＝植【三】
[015922]22  敬＝景【三】
[015923]23  [打-丁+豆]＝短【三】
[015924]24  其＝期【三】
[015925]25  也＝耶【三】
[015926]26  疾＝自【三】
[015927]27  （十二門論）＋觀因緣【三】
[015928]28  三藏＋（法師）【三】
[015929]29  說＝釋【明】
[015930]30  〔者〕－【三】
[015931]31  達＝了【三】
[015932]32  〔欲〕－【三】
[015933]33  〔義〕－【三】
[015934]34  〔又〕－【三】
[015935]35  〔能〕－【三】
[015936]36  謂＋（眾緣所生法）【三】
[016001]01  故有＝有故【宋】【元】
[016002]02  繩＝綖【三】
[016003]03  疊＝[疊*毛]【明】＊
[016004]04  梁＝樑【宋】【元】
[016005]05  酪＝酪酪鑽【宋】【元】，乳酪鑽【明】
[016006]06  酥＝蘇【宋】
[016007]07  芽＝牙【宋】
[016008]08  因緣者所謂＝緣者謂諸【三】
[016009]09  〔從眾緣生故即〕－【三】
[016010]10  柰＝[木*奈]【宋】【元】＊
<016001>＊  柰＝[木*奈]【宋】【元】
[016011]11  酥＝蘇【宋】【元】
[016012]12  皆＋（緣）【三】
[016013]13  〔說〕－【三】
[016014]14  已＝以【三】＊
[016015]15  〔先〕－【三】
<016002>＊  已＝以【三】
[016016]16  復應＝應復【三】
[016017]17  〔亦〕－【三】
[016018]18  亦＋（應）【三】
[016019]19  〔時〕－【三】
[016020]20  〔有生〕－【明】
[016021]21  （得）＋見【三】
[016022]22  果＝者【宋】
[016023]23  未＝末【明】
[016024]24  〔可〕－【三】
[016025]25  得＋（見）【三】
[016026]26  〔有〕－【三】
[016101]01  變＋（法）【三】
[016102]02  等＋（不同）【三】
[016103]03  故生＝生故【明】
[016104]04  〔者則〕－【三】
<016101>＊  疊＝[疊*毛]【明】
<016102>＊  疊＝[疊*毛]【明】
<016103>＊  疊＝[疊*毛]【明】
<016104>＊  疊＝[疊*毛]【明】
<016105>＊  疊＝[疊*毛]【明】
[016105]05  住＝作【三】
<016106>＊  疊＝[疊*毛]【明】
[016106]06  鵠＝鶴【三】
<016107>＊  疊＝[疊*毛]【明】
<016108>＊  疊＝[疊*毛]【明】
<016109>＊  疊＝[疊*毛]【明】
[016107]07  緣＋（而）【三】
<016110>＊  疊＝[疊*毛]【明】
[016108]08  則＋（凡）【三】
<016111>＊  疊＝[疊*毛]【明】
[016109]09  出＝生【三】
<016112>＊  疊＝[疊*毛]【明】
[016110]10  〔而〕－【三】
[016111]11  〔者〕－【三】
[016201]01  （是）＋故【三】
[016202]02  〔先〕－【三】＊
[016203]03  三＝二【元】【明】
[016204]04  〔者〕－【三】
<016201>＊  〔先〕－【三】
[016205]05  苦＝若【宋】【元】
[016206]06  縛解＝解縛【明】
[016207]07  〔法〕－【三】
[016208]08  本偈中論觀因緣品中第十一偈
[016209]09  〔曰〕－【明】
[016210]10  本偈中論觀因緣品中第五偈
[016211]11  於＝與【明】
[016212]12  〔而〕－【三】
[016213]13  〔復次〕－【三】
[016214]14  本偈中論觀因緣品中第十二偈
[016215]15  〔以〕－【三】＊
<016202>＊  〔以〕－【三】
[016216]16  〔耶〕－【三】
[016217]17  以角峰垂[古*頁]＝角犎垂壺【三】
[016218]18  細＋（口圓）【三】
[016219]19  〔為〕－【三】
[016220]20  〔者〕－【三】
[016221]21  （得）＋無【三】
[016222]22  〔亦爾〕－【三】
[016223]23  〔皆〕－【三】
[016224]24  以下偈中論觀三相品中第四偈乃至第十四偈
[016301]01  （能）＋生【三】
[016302]02  〔若〕－【三】
[016303]03  燈若＝若燈【三】
[016304]04  〔一切〕－【三】
[016305]05  應＝能【明】
[016306]06  闇與燈＝燈與闇【三】
[016307]07  〔不〕－【三】
[016308]08  已＝中【三】
[016309]09  〔生〕－【三】
[016310]10  （是）＋有【三】
[016311]11  空＝生【元】
[016312]12  〔亦〕－【三】
[016313]13  是＋（涅槃是）【三】
[016314]14  〔相〕－【三】＊
<016301>＊  〔相〕－【三】
[016315]15  〔有〕－【三】
[016316]16  本偈中論觀六種品中第三偈
[016317]17  〔何〕－【三】
[016318]18  〔是相〕－【三】
[016319]19  〔事〕－【三】
[016320]20  〔所相〕－【三】
[016401]01  （相）＋愛【三】
[016402]02  〔故〕－【三】
[016403]03  〔能〕－【三】
[016404]04  〔有〕－【三】
[016405]05  信＝相【元】【明】
[016406]06  （言）＋相【三】
[016407]07  〔更〕－【三】
[016408]08  〔可相〕－【三】
[016409]09  〔是事不然〕－【三】
[016410]10  本偈空七十論第十九偈
[016411]11  七＝九【三】
[016412]12  無＋（常）【三】
[016413]13  令＝今【明】
[016501]01  〔為〕－【明】
[016502]02  空＋（空）【宋】【元】
[016503]03  本偈中論觀行品中第三偈
[016504]04  無＝空【三】
[016505]05  果＝法【三】
[016506]06  〔無〕－【三】
[016507]07  〔當〕－【三】
[016508]08  （一切）＋有【三】
[016509]09  （無）＋若【三】
[016510]10  法空＝空一切【三】
[016511]11  本偈中論觀苦品第一偈
[016512]12  本偈中論觀因緣品中第十三偈
[016513]13  他＝共【三】
[016514]14  經＋（中）【三】
[016601]01  〔法〕－【三】
[016602]02  性＝相【三】
[016603]03  眾生者＝者眾生【三】
[016604]04  從自在＝自在天【三】
[016605]05  〔是〕－【三】＊
[016606]06  〔能〕－【三】
<016601>＊  〔是〕－【三】
[016607]07  礙＝閡【三】
[016608]08  蟲＝虫【宋】＊
<016602>＊  蟲＝虫【宋】
[016609]09  （是故）＋當【三】＊
[016610]10  作＋（是不自在）【三】
[016611]11  〔所〕－【三】＊
[016612]12  愛＋（念）【三】
[016613]13  〔當〕－【三】
<016603>＊  〔所〕－【三】
<016604>＊  （是故）＋當【三】
[016614]14  〔生〕－【三】
[016615]15  〔說〕－【三】
[016701]01  我＝汝【三】
[016702]02  〔我不說…難〕十四字－【三】
[016703]03  眼＝可【明】
[016704]04  有＝如【明】
[016705]05  〔因〕－【三】
[016706]06  〔空〕－【三】
[016707]07  皆＝亦【三】
[016708]08  〔生〕－【三】＊
<016701>＊  〔生〕－【三】
[016709]09  不＝未【三】
[016710]10  又＝有【三】
<016702>＊  〔生〕－【三】
[016711]11  則＋（不生宮）【三】
[016712]12  〔是〕－【三】
[016713]13  〔不生…則〕八字－【三】
[016714]14  〔又〕－【三】
[016715]15  （亦）＋不【三】
[016716]16  前＝先【三】
[016717]17  〔時生〕－【三】
[016718]18  門＋（觀）【宋】【元】
[016719]19  〔一卷〕－【三】
[016720]20  曰＝洹【明】
[016721]21  擅＝檀【宋】【元】
[016722]22  陵＝凌【三】
[016723]23  當＝黨【明】
[016801]01  練＝煉【三】
[016802]02  三藏＋（法師）【三】
[016803]03  葦＝韋【三】
[016804]04  秦＝此【明】＊
<016801>＊  秦＝此【明】
[016805]05  諦＝帝【明】
[016806]06  攝＝設【明】
<016802>＊  秦＝此【明】
[016807]07  此＝比【元】
[016808]08  吉＋（法）【三】
[016809]09  自＝是【明】
[016810]10  二＝一【元】
[016901]01  吉＝言【元】
[016902]02  振＝震【明】
[016903]03  （品）＋中【三】＊
<016901>＊  （品）＋中【三】
[016904]04  故＝否【明】
[016905]05  （復）＋說【三】
[016906]06  施＋（者）【三】
[016907]07  二＝三【明】
[016908]08  （為）＋生【三】
[017001]01  伽＋（阿羅邏）【三】
[017002]02  行＝得【元】
[017003]03  〔心不著〕－【三】
[017004]04  常＝當說【宋】，常說【元】【明】
[017005]05  相＋（過）【三】
[017006]06  〔福〕－【三】
[017007]07  〔馬〕－【三】
[017008]08  熏＝勳【宋】【元】
[017009]09  （如）＋迦【三】
[017010]10  耶＝邪【明】
[017101]01  不＝有【三】
[017102]02  物＝佛【明】
[017103]03  （能）＋知【三】
[017104]04  疊＝[疊*毛]【明】
[017105]05  〔是〕－【三】
[017106]06  故＝非【明】
[017201]01  〔是〕－【三】＊
<017201>＊  〔是〕－【三】
[017202]02  法＝去【明】
[017203]03  〔有〕－【三】
[017204]04  （譬）＋如【三】
[017205]05  獨＝觸【三】
[017206]06  （虛）＋空【三】
[017207]07  〔能〕－【三】
[017301]01  從何＝何從【三】
[017302]02  先＝見【明】
[017303]03  答＝合【三】
[017304]04  便＋（知）【三】
[017305]05  知＋（知）【三】
[017306]06  （是）＋神【三】
[017307]07  數＋（法）【三】＊
<017301>＊  數＋（法）【三】
[017308]08  攝＝說【三】
[017401]01  如＋（頭）【三】
[017402]02  〔是〕－【三】
[017403]03  〔不〕－【三】
[017404]04  色＋（分）【三】
[017405]05  〔亦〕－【三】
[017406]06  〔有〕－【三】
[017407]07  汝＝諸【三】
[017408]08  中＋（可得）【三】
[017409]09  不可得＝皆不【宋】，皆不可【元】【明】
[017410]10  ◎不分卷【三】
[017411]11  ◎不分卷【三】
[017412]12  〔等〕－【三】
[017413]13  有＋（一瓶）【三】
[017414]14  以＋（其）【三】
[017415]15  〔應〕－【三】
[017416]16  驃＋（與）【三】
[017417]17  〔相〕－【三】
[017418]18  有是＝是有【明】
[017501]01  與＝有【三】
[017502]02  有＋（法）【三】
[017503]03  瓶等＝等瓶【三】
[017504]04  以燈＝燈能【三】
[017505]05  〔作〕－【三】
[017506]06  曰＝白【元】
[017507]07  修妒路＝經本【三】
[017508]08  足分＝手足【三】
[017509]09  〔有〕－【三】
[017510]10  修妒路＝經本【宋】【元】，經中【明】
[017511]11  當＋（更）【三】
[017512]12  渧＝滴【三】＊
<017501>＊  渧＝滴【三】
<017502>＊  渧＝滴【三】
[017513]13  （諸）＋分
[017514]14  車＝事【元】
[017515]15  〔汝言〕－【三】
[017516]16  ◎卷上終【三】
[017517]17  ◎卷下首【三】，造號譯號如首卷【三】，釋號如首卷【元】【明】，宋本無釋號
[017518]18  （我）＋我【三】
[017519]19  〔眼〕－【三】
[017520]20  〔色〕－【三】
[017521]21  生＋（若先有）【三】
[017522]22  三＋（事）【三】
[017523]23  各＝中【三】
[017524]24  （相）＋待【三】
[017601]01  去＋（去）【三】
[017602]02  辨＝辨【三】
[017603]03  所＋（趣）【三】
[017604]04  （不）＋如【三】
[017605]05  相＋（應）【三】
[017606]06  是＝自【明】
[017607]07  此＋（則）【三】
[017608]08  （如）＋意【三】
[017609]09  〔和〕－【三】＊
[017610]10  〔諸〕－【三】
[017611]11  香＋（味）【三】＊
<017601>＊  香＋（味）【三】
<017602>＊  香＋（味）【三】
[017612]12  〔可〕－【三】
[017613]13  彼＝此【三】
[017614]14  〔分〕－【三】
[017701]01  〔色〕－【三】
[017702]02  〔時〕－【三】
[017703]03  〔微〕－【三】
[017704]04  芽＝牙【宋】
[017705]05  各＋（各）【三】
[017706]06  〔時〕－【三】
[017707]07  有＋（亦）【三】
[017708]08  泥＋（團）【三】
[017709]09  指＝故【三】
[017710]10  〔是〕－【三】
[017711]11  〔如〕－【三】
[017712]12  〔應〕－【三】
[017713]13  福＋（人）【三】
[017714]14  因＋（中）【三】
[017715]15  在＋（時）【三】
[017716]16  〔名等〕－【三】
[017717]17  〔因〕－【三】
[017718]18  睫＝接【明】
[017719]19  （微）＋細【三】
[017720]20  聚＋（米）【三】
[017721]21  形＝瓶【三】
[017801]01  便＝住【三】
[017802]02  過＝故【明】
[017803]03  牙＝芽【元】【明】
[017804]04  槃＋（也）【三】
[017805]05  生＝後【三】
[017806]06  二＝三【三】
[017807]07  〔俱〕－【三】
[017808]08  即＝則【三】
[017809]09  〔有〕－【三】
[017810]10  〔法〕－【三】
[017901]01  酥＝蘇【宋】＊
<017901>＊  酥＝蘇【宋】
<017902>＊  酥＝蘇【宋】
<017903>＊  酥＝蘇【宋】
[017902]02  〔是〕－【三】
[017903]03  〔常〕－【三】
[017904]04  〔說〕－【三】
[017905]05  法＋（不）【三】
[017906]06  故＋（應）【三】
[017907]07  處＝虛【三】
[017908]08  作＝住【三】＊
<017904>＊  作＝住【三】
[017909]09  〔諸〕－【三】
[018001]01  非＝作【元】【明】
[018002]02  自相有＝有自相【三】
[018003]03  各各＝名【三】
[018004]04  單＝丹【三】＊
<018001>＊  單＝丹【三】
<018002>＊  單＝丹【三】
[018005]05  芽＝牙【宋】
[018006]06  〔微〕－【三】
[018007]07  〔味〕－【三】
[018008]08  〔有分〕－【三】
[018009]09  常＋（有分）【三】
[018010]10  〔死〕－【三】
[018011]11  云何可＝何【三】
[018012]12  〔方〕－【三】
[018101]01  〔言〕－【三】
[018102]02  〔已〕－【三】
[018103]03  執＋（中）【宋】【元】，(破）【明】
[018104]04  〔法〕－【三】
[018105]05  〔是〕－【三】
[018106]06  〔所〕－【三】
[018107]07  破＋（法）【三】
[018108]08  非＝不【三】
[018109]09  〔名〕－【三】
[018110]10  〔執〕－【三】
[018111]11  妊＝娠【明】
[018112]12  是即＝即是【三】
[018113]13  〔無〕－【三】
[018114]14  〔若〕－【三】
[018115]15  無＝眾【三】
[018116]16  （中）＋聲【三】
[018117]17  今者＝者今【三】
[018201]01  實＝入【明】
[018202]02  柰＝[木*奈]【宋】【元】
[018203]03  The latter half of Bodhisattva-yogaacaara Catu.h-`sataka-`saastrakaarikaa.
[018204]04  AArya-Deva.
[018205]05  （唐）＋三藏【三】【宮】
[018206]06  詔＝制【三】【宮】
[018207]07  梵，第九品，Nityaartha-prati.sedha.
[018208]08  第二偈. Apratiityaastitaa naasti kadaacit ka`scit kvacit, Na kadacit kvacit ka`scit vidyate tena `saa`svata.h.（常住, `Saa`svata）
[018209]09  真見，Tattvavit.
[018210]10  所作，K.rtaka.
[018211]11  空，AAkaa`sa.
[018212]12  依世間，Lankikena.
[018213]13  有分，Prade`sin.
[018214]14  他＝地【三】
[018215]15  所生果，Kaarya.
[018216]16  變異，Vik.rta.
[018217]17  自然，Svatas. （從自然）
[018218]18  妄立，Nirarthaka.
[018219]19  微＝徵【宮】
[018220]20  極微，A.nu.
[018221]21  或＝成【明】
[018222]22  勝義，Paramaartha.
[018223]23  梵第十品 AAtma-`suddhy-upaaya-sa.mdar`sana.
[018224]24  我，AAtman.
[018225]25  丈夫，Pu.ms.
[018226]26  大種，Bhuuta.
[018227]27  身，Deha.
[018228]28  觸，Spar`sa.
[018229]29  動搖，Ce.s.ta.
[018301]01  食金剛，Vajrabhak.sa.na.
[018302]02  杖＝仗【三】【宮】
[018303]03  思，Citta.
[018304]04  思，Caitanya.
[018305]05  意量，Manomaatra.
[018306]06  障，AAvara.na.
[018307]07  德，Gu.na.
[018308]08  造，Kartu.m.
[018309]09  受用，Bhoktu.m.
[018310]10  有動作，Kriyaavat.
[018311]11  無用，Ni.skriya.
[018312]12  無我，Nairaatmya.
[018313]13  周遍，Sarvaga.
[018314]14  量同身，Dehamaatra.
[018315]15  芽＝牙【宋】【元】【宮】
[018316]16  梵，第十一品，Kaala-viprati.sedhabhaavanopade`sa.
[018317]17  未來，Anaagata.
[018318]18  過去，Atiita.
[018319]19  現在, Vartamaana.
[018320]20  壞，Vanga.
[018321]21  所趣，Gati.
[018322]22  先＝生【元】【明】
[018323]23  果先有，Satkaarya.
[018401]01  有＝又【三】【宮】
[018402]02  梵第十二品，D.r.s.ti-viprati.sedhabhaavanaasa.mdar`sana.
[018403]03  方便，Upaaya.
[018404]04  捨，Tyaaga.
[018405]05  尸羅，`Sila.
[018406]06  善趣，梵，Svarga.
[018407]07  涅槃，梵，Para-pada.
[018408]08  我執，Aha.mkaara.
[018409]09  離繁，Nirgrantha.
[018410]10  恭＝供【三】【宮】
[018411]11  苦業所感，Kle`sa-karmavipaaka.
[018412]12  身業，Janmakarman.
[018413]13  不害，Ahi.msa.
[018414]14  梵，第十三品，Indriyaartha-prati.sedha.
[018415]15  實性，Satsvaruupa.
[018416]16  至＝智【明】
[018501]01  能＝人【明】
[018502]02  詮＝證【三】【宮】
[018503]03  火輪，Alaatacakra.
[018504]04  變化，Nirmaana.
[018505]05  夢，Svapna.
[018506]06  幻，Maayaa.
[018507]07  水，Ambu.
[018508]08  月，Candraka.
[018509]09  彗＝篲【三】，彗星，Dhumikaanta.
[018510]10  響，Prati`srutkaa.
[018511]11  陽焰，Marici.
[018512]12  浮雲，Abhra.
[018513]13  梵，第十四品，Antagraahaviprati.sedhayoga.
[018514]14  有分，Avayavin.
[018515]15  分，Avayava.
[018516]16  和合，Samavaaya.
[018517]17  煖，U.s.na.
[018518]18  三性，Tritva.
[018519]19  諸＝謂【三】【宮】
[018520]20  自在，Svatantra.
[018521]21  識，Vij~nana.
[018522]22  有種，Bhavaviija.
[018523]23  境，Vi.saya.
[018524]24  梵，第十五品，Sa.msk.rtaarthaprati.sedha.
[018525]25  七＝十【宋】
[018526]26  本無，Abhaava.
[018527]27  無而＝而無【明】
[018528]28  一＝二【三】【宮】
[018601]01  應＝因【明】
[018602]02  生等＝成位【明】
[018603]03  所相，Lak.sya.
[018604]04  能相，Lak.sa.na.
[018605]05  後＝方【三】【宮】
[018606]06  轉生，轉滅，Prav.rtti，Niv.rtti.
[018607]07  梵，第十六品，Guru`si.syavyavasthopade`sa.
[018608]08  疑＝凝【三】
[018609]09  執＝瓶【三】【宮】
[018610]10  空＝宗【宋】【元】
[018611]11  諸＝非【三】【宮】
[018612]12  唯＝惟【明】
[018613]13  成＝惑【宮】
[018614]14  沷＝沃【明】
[018615]15  酥＝蘇【宋】【元】【宮】
[018701]01  〔一卷〕－【宋】【元】【宮】，一卷＋（梵本二百頌）【三】【宮】
[018702]02  〔大乘〕－【三】【宮】＊
[018703]03  （唐）＋三藏【明】＊
[018704]04  詔＝制【三】【宮】＊
[018705]05  〔之一〕－【三】【宮】
[018706]06  取＝求【宮】
[018707]07  二＝三【宋】【元】【宮】
[018708]08  辨＝辯【三】【宮】＊
[018709]09  破＝故【宮】
[018710]10  逼＝遍【元】【明】【宮】
[018801]01  異＝意【明】
<018801>＊  辨＝辯【三】【宮】
[018802]02  遣＝違【明】
[018803]03  等＝若【宋】【元】
[018804]04  妄＝忘【宮】
[018805]05  智＝知【三】【宮】
[018806]06  智＝知【明】
[018807]07  有＝謂【明】
[018808]08  諦＝謗【明】
[018809]09  許＝計【宮】
[018901]01  法＝有【三】【宮】
[018902]02  時用＝用時【三】【宮】
[018903]03  若＝苦【明】
[018904]04  是＝自【明】
[018905]05  含＝合【宋】
[018906]06  至＝欲【宮】
[019001]01  既＝計【明】
[019002]02  凝＝礙【宋】
[019003]03  改＝故【三】【宮】
[019004]04  用＝果【宮】
[019005]05  闍＝闇【宮】
[019006]06  〔分〕－【明】
[019007]07  故＝別【宮】
[019008]08  令＝今【明】
[019009]09  異＝果【宮】
[019101]01  石＝右【明】
[019102]02  愍＝[敏/心]【宋】【元】【宮】
[019103]03  過＝故【明】
<019201>＊  〔大乘〕－【三】【宮】
<019202>＊  〔大乘〕－【三】【宮】
<019203>＊  （唐）＋三藏【明】
<019204>＊  詔＝制【三】【宮】
[019201]01  設＝說【明】
[019202]02  知＝如【宋】【宮】
[019203]03  愛＝憂【宮】
[019301]01  作＝任【宮】
[019302]02  能＝德【三】【宮】
[019303]03  自＝是【明】
[019304]04  止＝正【三】【宮】
[019305]05  勝＝聖【明】
[019306]06  此＝苦【三】【宮】
[019307]07  設＝說【明】
[019308]08  救＝故【元】
[019309]09  所執＝執所【明】
[019310]10  擊＝繁【三】【宮】
[019311]11  〔非〕－【三】【宮】
[019401]01  二＝三【明】
[019402]02  況＝沈【明】
[019403]03  除＝如【明】
[019404]04  蕭＝肅【宋】【元】【宮】
[019405]05  然解脫＝解脫然【明】
[019406]06  〔大乘廣百論釋論〕－【明】
[019407]07  無＋（我）【三】【宮】
[019408]08  〔異滅〕－【宮】
[019409]09  根＝相【宋】
[019410]10  體＝雖【宮】
[019411]11  豈＝起【明】
[019412]12  雖＝唯【元】【明】
[019501]01  又＝及【明】
[019502]02  得＝德【三】【宮】
[019601]01  男＋（女）【三】
[019602]02  聲字明本缺
[019603]03  辨＝辯【三】【宮】
[019604]04  任＝住【元】【明】
[019701]01  諸＝說【宋】【元】【宮】
[019702]02  智＝知【宋】【元】【宮】
[019703]03  等＝業【三】【宮】
[019704]04  物我＝我物【三】【宮】
[019705]05  搖動＝動搖【三】【宮】
[019706]06  即＝既【三】【宮】
[019707]07  方＝有【明】
[019708]08  所＝作【明】
[019709]09  仗＝杖【宋】【元】【宮】
[019710]10  太＝大【明】
[019711]11  苦＝若【三】
[019712]12  此＝彼【宮】
[019713]13  〔大乘〕－【宋】【元】【宮】，〔大乘廣百論釋論〕－【明】
<019701>＊  〔大乘〕－【三】【宮】
<019702>＊  （唐）＋三藏【明】
<019703>＊  詔＝制【三】【宮】
[019801]01  比＝此【明】
[019802]02  合＝念【三】【宮】
[019803]03  念＝合【三】【宮】
[019804]04  酥＝蘇【宋】【宮】
[019805]05  [分/瓦]＝瓮【宋】【元】【宮】，甕【明】
[019901]01  咎＝垢【三】【宮】
[019902]02  引＝別【元】【明】
[019903]03  合＝今【宋】
[019904]04  果＝界【三】【宮】
[020001]01  周＝同【三】【宮】
